"keys","ru","uk","en"
"Поднимаешь союзников на 20% быстрее","Поднимаешь союзников на 20% быстрее","Піднімаєш союзників на 20% швидше","Revive allies 20% faster"
"Лёгкие ноги","Лёгкие ноги","Легкі ноги","Light Feet"
"+6% скорости бега","+6% скорости бега","+6% швидкості бігу","+6% run speed"
"Тень","Тень","Тінь","Shadow"
"Перекат восстанавливается на 20% быстрее","Перекат восстанавливается на 20% быстрее","Перекат відновлюється на 20% швидше","Dodge roll recovers 20% faster"
"Удачливый","Удачливый","Везунчик","Lucky"
"+20% золота с убитых тобой гномов","+20% золота с убитых тобой гномов","+20% золота з гномів, вбитих тобою","+20% gold from gnomes you kill"
"Роковой удар","Роковой удар","Фатальний удар","Fatal Strike"
"Криты наносят на 25% больше","Криты наносят на 25% больше","Крити завдають на 25% більше","Crits deal 25% more damage"
"Первая кровь","Первая кровь","Перша кров","First Blood"
"Убей своего первого гнома","Убей своего первого гнома","Вбий свого першого гнома","Kill your first gnome"
"Гроза гномов","Гроза гномов","Гроза гномів","Gnome Slayer"
"Убей 100 гномов","Убей 100 гномов","Вбий 100 гномів","Kill 100 gnomes"
"Победитель вождя","Победитель вождя","Переможець вождя","Chief's Bane"
"Срази вожака гномов","Срази вожака гномов","Здолай вождя гномів","Defeat the gnome chieftain"
"Вольный маг","Вольный маг","Вільний маг","Freelance Mage"
"Найми гнома-мага в лагере","Найми гнома-мага в лагере","Найми гнома-мага в таборі","Hire a gnome mage at camp"
"Наставник","Наставник","Наставник","Mentor"
"Прокачай наёмника до максимума","Прокачай наёмника до максимума","Прокачай найманця до максимуму","Level your hireling to max"
"Спасатель","Спасатель","Рятівник","Lifesaver"
"Подними павшего товарища","Подними павшего товарища","Підніми полеглого товариша","Revive a fallen ally"
"Золотая жила","Золотая жила","Золота жила","Gold Rush"
"Собери 500 золота отряда за главу","Собери 500 золота отряда за главу","Збери 500 золота загону за главу","Gather 500 party gold in one chapter"
"Мастер на все руки","Мастер на все руки","Майстер на всі руки","Jack of All Trades"
"Выполни все побочные задания кампании","Выполни все побочные задания кампании","Виконай усі побічні завдання кампанії","Complete every side quest in the campaign"
"Осколки собраны","Осколки собраны","Уламки зібрано","Shards Assembled"
"Заверши кампанию","Заверши кампанию","Заверши кампанію","Finish the campaign"
"Достойный финал","Достойный финал","Гідний фінал","A Worthy Ending"
"Получи лучшую концовку кампании","Получи лучшую концовку кампании","Отримай найкращу кінцівку кампанії","Earn the campaign's best ending"
"Дуэлянт","Дуэлянт","Дуелянт","Duelist"
"Победи в ПвП-поединке","Победи в ПвП-поединке","Переможи в ПвП-поєдинку","Win a PvP duel"
"ГОТОВИТ УДАР!","ГОТОВИТ УДАР!","ГОТУЄ УДАР!","WINDING UP A STRIKE!"
"ГОТОВИТ РЫВОК!","ГОТОВИТ РЫВОК!","ГОТУЄ РИВОК!","PREPARING A CHARGE!"
"ПРИЗЫВАЕТ ПОДКРЕПЛЕНИЕ!","ПРИЗЫВАЕТ ПОДКРЕПЛЕНИЕ!","КЛИЧЕ ПІДКРІПЛЕННЯ!","SUMMONING REINFORCEMENTS!"
"Новый навык открыт!","Новый навык открыт!","Новий навик відкрито!","New skill unlocked!"
"ДОСТИЖЕНИЯ","ДОСТИЖЕНИЯ","ДОСЯГНЕННЯ","ACHIEVEMENTS"
"Открыто: %d из %d","Открыто: %d из %d","Відкрито: %d з %d","Unlocked: %d of %d"
"ДОСТИЖЕНИЕ: %s","ДОСТИЖЕНИЕ: %s","ДОСЯГНЕННЯ: %s","ACHIEVEMENT: %s"
"Войди в портал","Войди в портал","Увійди в портал","Step into the portal"
"Ирма выжала последний гриб в котёл и притворилась, что так и было.","Ирма выжала последний гриб в котёл и притворилась, что так и было.","Ірма вичавила останній гриб у казан і вдала, що так і було задумано.","Irma squeezed the last mushroom into the cauldron and pretended that was the plan all along."
"Портал загудел. Врач сказала: «Идите уже, а то отвар остынет».","Портал загудел. Врач сказала: «Идите уже, а то отвар остынет».","Портал загудів. Лікарка сказала: «Ідіть уже, бо відвар охолоне».","The portal began to hum. The healer said, ""Off you go, before the brew gets cold."""
"Молот вернулся к Борину. Гвозди в подошвах гномов — уже его проблема.","Молот вернулся к Борину. Гвозди в подошвах гномов — уже его проблема.","Молот повернувся до Боріна. Цвяхи в підошвах гномів — тепер його проблема.","The hammer is back with Borin. Nails in gnome boot-soles are his problem now."
"Кузница задышала огнём. Портал — единственный выход, не считая дымохода.","Кузница задышала огнём. Портал — единственный выход, не считая дымохода.","Кузня знову задихала вогнем. Портал — єдиний вихід, не рахуючи димаря.","The forge breathes fire again. The portal is the only way out, not counting the chimney."
"Ася потушила последний сигнальный костёр рукавом — как обычно, героически и не по инструкции.","Ася потушила последний сигнальный костёр рукавом — как обычно, героически и не по инструкции.","Ася загасила останнє сигнальне багаття рукавом — як завжди, героїчно і не за інструкцією.","Asya put out the last signal fire with her sleeve — heroic, as usual, and not remotely by the book."
"Лёд треснул ровно там, где нужно. Портал открылся раньше, чем она замёрзла окончательно.","Лёд треснул ровно там, где нужно. Портал открылся раньше, чем она замёрзла окончательно.","Лід тріснув саме там, де треба. Портал відкрився раніше, ніж вона замерзла остаточно.","The ice cracked exactly where it needed to. The portal opened before she froze solid."
"Дух короля Дунгрима вздохнул с облегчением — впервые за триста лет не в переносном смысле.","Дух короля Дунгрима вздохнул с облегчением — впервые за триста лет не в переносном смысле.","Дух короля Дунгріма зітхнув із полегшенням — вперше за триста років не в переносному сенсі.","The ghost of King Dungrim sighed with relief — for the first time in three hundred years, not just figuratively."
"«Ну наконец-то», — сказал призрак и первым нырнул в портал, забыв, что призракам это необязательно.","«Ну наконец-то», — сказал призрак и первым нырнул в портал, забыв, что призракам это необязательно.","«Ну нарешті», — сказав привид і перший пірнув у портал, забувши, що привидам це необов'язково.","""Finally,"" said the ghost, diving into the portal first — forgetting that ghosts don't actually need to."
"Поляна снова цела. Ирма уже готовит следующий отвар — на всякий случай.","Поляна снова цела. Ирма уже готовит следующий отвар — на всякий случай.","Галявина знову ціла. Ірма вже готує наступний відвар — про всяк випадок.","The meadow is whole again. Irma is already brewing the next potion — just in case."
"Портал мерцает терпеливо. Он привык, что тут вечно кого-то осаждают.","Портал мерцает терпеливо. Он привык, что тут вечно кого-то осаждают.","Портал терпляче мерехтить. Він звик, що тут постійно когось обложують.","The portal flickers patiently. It's used to this place being besieged every other week."
"Логово Лича опустело — если не считать эха и одной очень недовольной кости.","Логово Лича опустело — если не считать эха и одной очень недовольной кости.","Лігво Ліча спорожніло — якщо не рахувати відлуння й однієї дуже незадоволеної кістки.","The Lich's lair stands empty — save for an echo and one very displeased bone."
"Дунгрим махнул рукой в портал: «После вас. Я тут уже был, знаю дорогу».","Дунгрим махнул рукой в портал: «После вас. Я тут уже был, знаю дорогу».","Дунгрім махнув рукою в портал: «Після вас. Я тут уже був, знаю дорогу».","Dungrim waved toward the portal: ""After you. I've been through here before -- I know the way."""
"УРОВЕНЬ %d","УРОВЕНЬ %d","РІВЕНЬ %d","LEVEL %d"
"подмастерье ур. %d","подмастерье ур. %d","підмайстер рів. %d","apprentice lv. %d"
"[%s] — осмотреть","[%s] — осмотреть","[%s] — оглянути","[%s] — examine"
"[%s] — попросить благословения","[%s] — попросить благословения","[%s] — попросити благословення","[%s] — ask for a blessing"
"Где-то за холмами уже дымит кузница Борина — и явно не только от очага.","Где-то за холмами уже дымит кузница Борина — и явно не только от очага.","Десь за пагорбами вже димить кузня Боріна — і явно не тільки від вогнища.","Somewhere past the hills, Borin's forge is already smoking — and clearly not just from the hearth."
"На горизонте вспыхивают сигнальные огни — кто-то там уже замерзает по расписанию.","На горизонте вспыхивают сигнальные огни — кто-то там уже замерзает по расписанию.","На горизонті спалахують сигнальні вогні — хтось там уже мерзне за розкладом.","Signal fires flare on the horizon — someone out there is already freezing right on schedule."
"В глубине ледника что-то костяное завозилось — и явно не собирается ждать весны.","В глубине ледника что-то костяное завозилось — и явно не собирается ждать весны.","У глибині льодовика щось кістяне заворушилося — і явно не збирається чекати весни.","Deep in the glacier, something bony has started stirring — and it clearly isn't waiting for spring."
"Поляна вдалеке уже трубит тревогу — старым бедам понадобился ремонт.","Поляна вдалеке уже трубит тревогу — старым бедам понадобился ремонт.","Галявина вдалині вже трубить тривогу — старим бідам знадобився ремонт.","Far off, the meadow is already sounding the alarm — the old troubles need patching up again."
"А из Логова Лича, говорят, снова доносится стук костей не в такт.","А из Логова Лича, говорят, снова доносится стук костей не в такт.","А з Лігва Ліча, кажуть, знову чути стукіт кісток не в такт.","And from the Lich's Lair, they say, an off-beat rattle of bones can be heard again."
"Осколки Сердца Горы, наконец все вместе, тихо светятся в мешке — и, кажется, тоже рады финалу.","Осколки Сердца Горы, наконец все вместе, тихо светятся в мешке — и, кажется, тоже рады финалу.","Уламки Серця Гори, нарешті всі разом, тихо світяться в мішку — і, здається, теж раді фіналу.","The shards of the Mountain Heart, finally all together, glow quietly in the sack — and seem just as glad it's over."
"Когда-то здесь стояла сторожевая башня — пока Сердце Горы не раскололось и гномы не решили, что сторожить особо нечего.","Когда-то здесь стояла сторожевая башня — пока Сердце Горы не раскололось и гномы не решили, что сторожить особо нечего.","Колись тут стояла сторожова вежа — поки Серце Гори не розкололося і гноми не вирішили, що охороняти особливо нічого.","A watchtower once stood here — until the Mountain Heart cracked and the gnomes decided there was little left worth guarding."
"На камне едва читается: «Здесь был дозорный пост. Отсюда всё началось. Или закончилось — как посмотреть».","На камне едва читается: «Здесь был дозорный пост. Отсюда всё началось. Или закончилось — как посмотреть».","На камені ледь читається: «Тут був дозірний пост. Звідси все почалося. Або закінчилося — як подивитися».","Barely legible on the stone: ""A watch post once stood here. This is where it all began. Or ended -- depends how you look at it."""
"Обвалившиеся ступени ведут в никуда — башня рухнула в ту же ночь, когда небо треснуло цветом расколотого камня.","Обвалившиеся ступени ведут в никуда — башня рухнула в ту же ночь, когда небо треснуло цветом расколотого камня.","Обвалені сходи ведуть у нікуди — вежа впала тієї ж ночі, коли небо тріснуло кольором розколотого каменю.","Collapsed steps lead nowhere — the tower fell the same night the sky cracked with the color of shattered stone."
"Руны на камнях складываются в одно слово: «Осколки». Кто-то явно знал, что случится, задолго до того, как это случилось.","Руны на камнях складываются в одно слово: «Осколки». Кто-то явно знал, что случится, задолго до того, как это случилось.","Руни на каменях складаються в одне слово: «Уламки». Хтось явно знав, що станеться, задовго до того, як це сталося.","The runes on the stones spell out one word: ""Shards."" Someone clearly knew what was coming, long before it came."
"Кольцо менгиров тихо гудит в такт — будто где-то далеко всё ещё бьётся настоящее Сердце Горы.","Кольцо менгиров тихо гудит в такт — будто где-то далеко всё ещё бьётся настоящее Сердце Горы.","Кільце менгірів тихо гуде в такт — ніби десь далеко досі б'ється справжнє Серце Гори.","The ring of standing stones hums quietly in rhythm — as if somewhere far away, the real Mountain Heart is still beating."
"Один из камней теплее остальных. Никто не проверял, почему. Все предпочитают не проверять.","Один из камней теплее остальных. Никто не проверял, почему. Все предпочитают не проверять.","Один із каменів тепліший за інші. Ніхто не перевіряв, чому. Усі воліють не перевіряти.","One of the stones is warmer than the rest. No one has checked why. Everyone prefers not to."
"У СВЯТИЛИЩА СПОКОЙНЕЕ НА ДУШЕ","У СВЯТИЛИЩА СПОКОЙНЕЕ НА ДУШЕ","БІЛЯ СВЯТИЛИЩА СПОКІЙНІШЕ НА ДУШІ","THE SHRINE EASES THE SOUL"
"Святилище ещё не готово благословлять снова.","Святилище ещё не готово благословлять снова.","Святилище ще не готове благословляти знову.","The shrine isn't ready to bless again yet."
"ВТОРОЕ ДЫХАНИЕ!","ВТОРОЕ ДЫХАНИЕ!","ДРУГЕ ДИХАННЯ!","SECOND WIND!"
"Пытливый ум","Пытливый ум","Допитливий розум","Curious Mind"
"Осмотри руины или менгиры в мире","Осмотри руины или менгиры в мире","Огляньте руїни або менгіри у світі","Examine ruins or standing stones somewhere in the world"
"Благословлённый","Благословлённый","Благословенний","Blessed"
"Получи благословение у святилища","Получи благословение у святилища","Отримай благословення біля святилища","Receive a blessing at a shrine"
"★ ЭЛИТА ур. %d","★ ЭЛИТА ур. %d","★ ЕЛІТА рів. %d","★ ELITE lvl %d"
"[%s] — согреться у костра","[%s] — согреться у костра","[%s] — зігрітися біля багаття","[%s] — warm up by the fire"
"[%s] — испить воды","[%s] — испить воды","[%s] — напитися води","[%s] — drink from the well"
"[%s] — принять заказ","[%s] — принять заказ","[%s] — прийняти замовлення","[%s] — accept the bounty"
"Среди обломков — маленький колокол без языка. Раньше он бил тревогу. Тревожиться больше некому.","Среди обломков — маленький колокол без языка. Раньше он бил тревогу. Тревожиться больше некому.","Серед уламків — маленький дзвін без язика. Раніше він бив тривогу. Тривожитися вже нікому.","Among the rubble — a small bell with no clapper. It used to sound the alarm. There's no one left to alarm."
"Кто-то нацарапал на притолоке дюжину палочек — считал дни до чего-то. На тринадцатой палочка обрывается.","Кто-то нацарапал на притолоке дюжину палочек — считал дни до чего-то. На тринадцатой палочка обрывается.","Хтось надряпав на одвірку дюжину рисочок — рахував дні до чогось. На тринадцятій рахунок обривається.","Someone scratched a dozen tally marks into the doorframe — counting the days to something. The count stops at thirteen."
"Здесь находят наконечники стрел, но ни одной цели поблизости. Похоже, стреляли не в гномов — в небо, когда оно раскололось.","Здесь находят наконечники стрел, но ни одной цели поблизости. Похоже, стреляли не в гномов — в небо, когда оно раскололось.","Тут знаходять наконечники стріл, але жодної цілі поблизу. Схоже, стріляли не в гномів — у небо, коли воно тріснуло.","Arrowheads keep turning up here, but there's no target in sight. Looks like they weren't shooting at gnomes — they were shooting at the sky, when it cracked."
"Если встать точно в центре кольца на закате, тень падает не туда, куда должна. Точнее — падает туда, откуда придёт беда.","Если встать точно в центре кольца на закате, тень падает не туда, куда должна. Точнее — падает туда, откуда придёт беда.","Якщо стати точно в центрі кола на заході сонця, тінь падає не туди, куди має. Точніше — падає туди, звідки прийде біда.","Stand dead center of the ring at sunset and your shadow falls the wrong way. More precisely — it falls toward wherever the trouble is coming from."
"Резьба на самом низком камне — не гномья и не человеческая. Травница Ирма считает, что она старше обоих народов.","Резьба на самом низком камне — не гномья и не человеческая. Травница Ирма считает, что она старше обоих народов.","Різьба на найнижчому камені — не гномська і не людська. Травниця Ірма вважає, що вона старіша за обидва народи.","The carving on the lowest stone isn't gnomish, and it isn't human either. Herbalist Irma thinks it's older than both peoples."
"Птицы не садятся на менгиры. Даже зимой, даже в метель — предпочитают мёрзнуть, но не рядом с камнями.","Птицы не садятся на менгиры. Даже зимой, даже в метель — предпочитают мёрзнуть, но не рядом с камнями.","Птахи не сідають на менгіри. Навіть узимку, навіть у хуртовину — краще змерзнуть, ніж сядуть поруч із камінням.","Birds won't land on the standing stones. Not even in winter, not even in a blizzard — they'd rather freeze than perch nearby."
"Каменные плиты подписаны именами, стёртыми временем сильнее, чем должно быть возможно — будто кто-то нарочно соскрёб память.","Каменные плиты подписаны именами, стёртыми временем сильнее, чем должно быть возможно — будто кто-то нарочно соскрёб память.","Кам'яні плити підписані іменами, стертими часом сильніше, ніж мало би бути можливим — ніби хтось навмисно зішкріб пам'ять.","The stone slabs are inscribed with names worn away more thoroughly than time alone should manage — as if someone scraped the memory off on purpose."
"В нише — маленький кубок без ручки. Пуст уже века, но всё ещё пахнет чем-то похожим на праздник.","В нише — маленький кубок без ручки. Пуст уже века, но всё ещё пахнет чем-то похожим на праздник.","У ніші — маленький кубок без ручки. Порожній уже століттями, але досі пахне чимось схожим на свято.","A small handleless cup sits in the alcove. Empty for centuries now, but it still smells faintly like a celebration."
"Дух короля Дунгрима где-то рядом слонялся именно тут — судя по холоду, что не связан с зимой.","Дух короля Дунгрима где-то рядом слонялся именно тут — судя по холоду, что не связан с зимой.","Дух короля Дунгріма десь тут і вештався — судячи з холоду, що не пов'язаний із зимою.","The ghost of King Dungrim must have wandered through here — the chill has nothing to do with winter."
"Кости сложены слишком аккуратно для того, кто просто умер. Кто-то их укладывал. Возможно, до сих пор укладывает.","Кости сложены слишком аккуратно для того, кто просто умер. Кто-то их укладывал. Возможно, до сих пор укладывает.","Кістки складені надто акуратно для того, хто просто помер. Хтось їх укладав. Можливо, досі укладає.","The bones are stacked too neatly for someone who simply died. Someone arranged them. Possibly someone still does."
"Надпись у входа гласит: «Не буди то, что уже устало». Гномы, очевидно, не умеют читать — или им всё равно.","Надпись у входа гласит: «Не буди то, что уже устало». Гномы, очевидно, не умеют читать — или им всё равно.","Напис біля входу гласить: «Не буди те, що вже втомилося». Гноми, вочевидь, не вміють читати — або їм байдуже.","The inscription by the entrance reads: 'Do not wake what is already tired.' Gnomes, apparently, can't read — or don't care."
"Эхо здесь звучит на полсекунды позже, чем должно. Ирма говорит — это нормально. Ирма много чего говорит.","Эхо здесь звучит на полсекунды позже, чем должно. Ирма говорит — это нормально. Ирма много чего говорит.","Луна тут звучить на півсекунди пізніше, ніж мала б. Ірма каже — це нормально. Ірма багато чого каже.","The echo here lands half a second later than it should. Irma says that's normal. Irma says a lot of things."
"Сломанные молоты Борина лежат вперемешку с гномьими дубинками — не разобрать уже, кто на чьей стороне здесь дрался.","Сломанные молоты Борина лежат вперемешку с гномьими дубинками — не разобрать уже, кто на чьей стороне здесь дрался.","Зламані молоти Боріна лежать упереміш із гномськими кийками — вже не розібрати, хто на чиєму боці тут бився.","Borin's broken hammers lie tangled with gnomish clubs — impossible to tell anymore who was fighting on which side."
"Флаг на древке выцвел до серого. По форме — как будто был гербом кузницы. Или трактира. Ирма клянётся, что помнит какого.","Флаг на древке выцвел до серого. По форме — как будто был гербом кузницы. Или трактира. Ирма клянётся, что помнит какого.","Прапор на держаку вицвів до сірого. За формою — ніби був гербом кузні. Або корчми. Ірма клянеться, що пам'ятає якої.","The banner on the pole has faded to gray. By its shape, it might have been a forge's crest. Or a tavern's. Irma swears she remembers which."
"Здесь трижды перекапывали землю в поисках чего-то ценного. Судя по свежим ямам — не нашли до сих пор.","Здесь трижды перекапывали землю в поисках чего-то ценного. Судя по свежим ямам — не нашли до сих пор.","Тут тричі перекопували землю в пошуках чогось цінного. Судячи зі свіжих ям — досі не знайшли.","The ground here has been dug up three times over, searching for something valuable. Judging by the fresh pits, whatever it is still hasn't turned up."
"Щит с вмятиной точно по центру — кто-то держал строй до последнего. Или просто неудачно споткнулся.","Щит с вмятиной точно по центру — кто-то держал строй до последнего. Или просто неудачно споткнулся.","Щит із вм'ятиною точно по центру — хтось тримав стрій до останнього. Або просто невдало спіткнувся.","A shield dented dead center — someone held the line to the very end. Or just tripped badly."
"Кострище давно остыло, но вокруг всё ещё разложены котелки — будто ужин прервали на середине и забыли вернуться.","Кострище давно остыло, но вокруг всё ещё разложены котелки — будто ужин прервали на середине и забыли вернуться.","Вогнище давно згасло, але навколо досі розкладені казанки — ніби вечерю перервали на середині й забули повернутися.","The firepit went cold long ago, but the cooking pots are still laid out around it — as if dinner was interrupted halfway through and no one ever came back."
"Стрелы торчат из земли ровным полукругом — залп, направленный в одну сторону. В какую именно — уже не разобрать.","Стрелы торчат из земли ровным полукругом — залп, направленный в одну сторону. В какую именно — уже не разобрать.","Стріли стирчать із землі рівним півколом — залп, спрямований в один бік. Куди саме — вже не розібрати.","Arrows stick out of the ground in a neat half-circle — a volley aimed all in one direction. Which direction, exactly, is no longer clear."
"КОСТЁР СОГРЕЛ ПЕРЕД ДОРОГОЙ","КОСТЁР СОГРЕЛ ПЕРЕД ДОРОГОЙ","БАГАТТЯ ЗІГРІЛО ПЕРЕД ДОРОГОЮ","THE FIRE WARMED YOU FOR THE ROAD"
"СТАРЫЙ КОЛОДЕЦ ПРИДАЛ СИЛ","СТАРЫЙ КОЛОДЕЦ ПРИДАЛ СИЛ","СТАРИЙ КОЛОДЯЗЬ ДОДАВ СИЛ","THE OLD WELL GAVE YOU STRENGTH"
"ОБЪЯВЛЕНА НАГРАДА ЗА ЭЛИТНОГО ГНОМА ПОБЛИЗОСТИ","ОБЪЯВЛЕНА НАГРАДА ЗА ЭЛИТНОГО ГНОМА ПОБЛИЗОСТИ","ОГОЛОШЕНО НАГОРОДУ ЗА ЕЛІТНОГО ГНОМА ПОБЛИЗУ","A BOUNTY HAS BEEN POSTED — AN ELITE GNOME LURKS NEARBY"
"ЭЛИТНЫЙ ГНОМ ПОБЛИЗОСТИ!","ЭЛИТНЫЙ ГНОМ ПОБЛИЗОСТИ!","ЕЛІТНИЙ ГНОМ ПОБЛИЗУ!","AN ELITE GNOME IS NEARBY!"
"Костёр ещё прогорает — не время греться снова.","Костёр ещё прогорает — не время греться снова.","Багаття ще прогорає — не час знову грітися.","The fire is still burning down — not time to warm up again yet."
"Колодец ещё не набрал воды.","Колодец ещё не набрал воды.","Колодязь ще не набрав води.","The well hasn't refilled yet."
"Награда за эту доску уже забрана.","Награда за эту доску уже забрана.","Нагороду з цієї дошки вже забрано.","The bounty on this board has already been claimed."
"Охотник на элиту","Охотник на элиту","Мисливець на еліту","Elite Hunter"
"Срази золотого элитного гнома","Срази золотого элитного гнома","Здолай золотого елітного гнома","Defeat a golden elite gnome"
"Свободный охотник","Свободный охотник","Вільний мисливець","Freelance Hunter"
"Прими заказ с доски объявлений","Прими заказ с доски объявлений","Прийми замовлення з дошки оголошень","Accept an order from the bounty board"
"У костра","У костра","Біля багаття","By the Fire"
"Погрейся у походного костра","Погрейся у походного костра","Зігрійся біля похідного багаття","Warm up by a campfire"
"Живая вода","Живая вода","Жива вода","Living Water"
"Испей воды из старого колодца","Испей воды из старого колодца","Напийся води зі старого колодязя","Drink from an old well"
"Добивающий удар","Добивающий удар","Добивний удар","Finishing Blow"
"Доверши приём по оглушённому гному","Доверши приём по оглушённому гному","Заверши прийом по оглушеному гному","Land a finishing hit on a staggered gnome"
"Хранитель памяти","Хранитель памяти","Хранитель пам'яті","Keeper of Memory"
"Собери весь лор одной карты","Собери весь лор одной карты","Збери весь лор однієї карти","Collect all the lore on one map"
"Открыто: %d из %d  ·  лор карты: %d из %d","Открыто: %d из %d  ·  лор карты: %d из %d","Відкрито: %d з %d  ·  лор карти: %d з %d","Unlocked: %d of %d  ·  map lore: %d of %d"
"Прочитай все фрагменты лора в мире","Прочитай все фрагменты лора в мире","Прочитай усі фрагменти лору у світі","Read every lore fragment in the world"
"Открыто: %d из %d  ·  лор мира: %d из %d","Открыто: %d из %d  ·  лор мира: %d из %d","Відкрито: %d з %d  ·  лор світу: %d з %d","Unlocked: %d of %d  ·  world lore: %d of %d"
"Discord Application ID:","Discord Application ID:","Discord Application ID:","Discord Application ID:"
"свой ID или пусто","свой ID или пусто","свій ID або порожньо","your ID or leave empty"
"Для кнопки трансляции добавь игру в Discord: Настройки → Зарегистрированные игры → «Добавьте её!».","Для кнопки трансляции добавь игру в Discord: Настройки → Зарегистрированные игры → «Добавьте её!».","Для кнопки трансляції додай гру в Discord: Налаштування → Зареєстровані ігри → «Додайте її!».","For the stream button, add the game in Discord: Settings → Registered Games → ""Add it!""."
